genome_id,Completeness,Contamination,GC,GC std,Genome size,# ambiguous bases,# scaffolds,# contigs,Longest scaffold,Longest contig,N50 (scaffolds),N50 (contigs),Mean scaffold length,Mean contig length,Coding density,Translation table,# predicted genes
mgm4762887.3,86.10711718188354,0.0,0.40876184255614206,0.01833088729962369,1243186,0,90,90,80980,80980,28282,28282,13813.177777777777,13813.177777777777,0.9092605611710557,11,1396
mgm4762869.3,95.4828660436137,6.925473280613469,0.4780058091937781,0.02031898534708891,1783380,0,464,464,34794,34794,7127,7127,3843.4913793103447,3843.4913793103447,0.8900980161266808,11,2277
mgm4762899.3,87.72727272727273,2.809917355371901,0.4577227790961949,0.02771027294374128,1713334,0,540,540,25955,25955,4153,4153,3172.840740740741,3172.840740740741,0.9229029482867905,11,2137
mgm4762889.3,86.44859813084112,6.829618979151689,0.45283458657131803,0.015476765917976597,4290220,0,515,515,138218,138218,26310,26310,8330.52427184466,8330.52427184466,0.8940091650311639,11,4475
mgm4762880.3,82.66666666666666,3.2,0.5109823291661595,0.017292234540552957,2439783,0,233,233,54627,54627,17987,17987,10471.171673819743,10471.171673819743,0.923662883133459,11,2021
mgm4762883.3,87.27534148094897,4.672897196261682,0.4695371948558204,0.021331056741192712,4712977,0,485,485,55050,55050,15883,15883,9717.478350515465,9717.478350515465,0.8970574225165961,11,4391
mgm4762878.3,90.94514210178453,8.98876404494382,0.4647489508259679,0.019474393302607373,3421501,0,178,178,122128,122128,52451,52451,19221.915730337078,19221.915730337078,0.9150077699816542,11,3180
mgm4762896.3,82.28829993535875,11.053652230122818,0.6847730120818615,0.018788128148469346,3435315,0,981,981,20766,20766,4689,4689,3501.8501529051987,3501.8501529051987,0.9320193344715113,11,3614
mgm4762894.3,84.94623655913979,5.376344086021505,0.7177008376636176,0.021166419288601964,4231054,0,838,838,53441,53441,7609,7609,5048.99045346062,5048.99045346062,0.9216034586181127,11,3845
mgm4762875.3,92.25774225774227,4.945054945054945,0.5925961614913832,0.013518457078624622,3798246,0,1010,1010,21634,21634,5073,5073,3760.639603960396,3760.639603960396,0.9088081709294238,11,3843
